Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Gabe Vincent,MIA,24,6-3,200,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,9,2.4,0.6,0.7,-15.9,0.0%,5.3%,19.6%,29.7%,12.0%,75,-0.9732593146450594,-0.7131011963910859,Core Data,Core Data,-1.1924369528788716,Core Data
Garrett Temple,BKN,34,6-5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,62,10.3,3.5,2.5,-1.4,1.5%,9.6%,16.2%,51.3%,13.2%,77,-0.3875321503137314,-0.920097757459394,Core Data,Core Data,-0.9246339750687181,Core Data
Garrison Mathews,WAS,23,6-5,215,None,USA,Undrafted,Undrafted,Undrafted,18,5.4,1.3,0.6,7.1,2.5%,7.5%,13.7%,69.1%,6.3%,77,-0.3875321503137314,-0.09211151318616172,Core Data,Core Data,-0.3391592870139344,Core Data
Gary Clark,ORL,25,6-6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,42,3.7,2.6,0.4,-5.1,5.8%,11.6%,10.5%,56.8%,4.3%,78,-0.09466856814806733,0.3218816089504544,Core Data,Core Data,0.16066388192538214,Core Data
Gary Harris,DEN,25,6-4,210,Michigan State,USA,2014,1,19,56,10.4,2.9,2.1,3.4,1.5%,7.7%,15.0%,51.9%,9.1%,76,-0.6803957324793954,-0.2991080742544698,Core Data,Core Data,-0.6926137839395551,Core Data
Gary Payton II,WAS,27,6-3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,29,3.9,2.8,1.7,-14.3,5.3%,12.7%,12.9%,47.3%,15.8%,75,-0.9732593146450594,-0.920097757459394,Core Data,Core Data,-1.3388056248925675,Core Data
Gary Trent Jr.,POR,21,6-5,209,Duke,USA,2018,2,37,61,8.9,1.6,1.0,-1.4,1.7%,5.2%,15.0%,58.7%,6.4%,77,-0.3875321503137314,-0.3405073864681314,Core Data,Core Data,-0.5148016934303695,Core Data
George Hill,MIL,34,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,59,9.4,3.0,3.1,10.6,3.8%,8.6%,15.2%,65.9%,19.6%,75,-0.9732593146450594,-1.2098929429550254,Core Data,Core Data,-1.543721765711742,Core Data
Georges Niang,UTA,27,6-7,230,Iowa State,USA,2016,2,50,66,5.9,1.9,0.7,-1.1,1.5%,11.7%,16.3%,58.9%,6.9%,79,0.1981950140175967,0.5288781700187625,Core Data,Core Data,0.5141183788510028,Core Data
Giannis Antetokounmpo,MIL,25,6-11,242,None,Greece,2013,1,15,63,29.5,13.6,5.6,15.4,6.8%,30.7%,36.3%,61.3%,32.8%,83,1.369649342680253,1.025669916582702,Core Data,Core Data,1.6937464913315718,Core Data
