skaterFullName,year_season_start,season_number,goals,gamesPlayed
Markus Naslund,2002,10,48,82
Markus Naslund,2003,11,35,78
Markus Naslund,2005,12,32,81
Markus Naslund,2006,13,24,82
Markus Naslund,2007,14,25,82
Markus Naslund,2008,15,24,82
Martin St. Louis,1998,1,1,13
Martin St. Louis,1999,2,3,56
Martin St. Louis,2000,3,18,78
Martin St. Louis,2001,4,16,53
Martin St. Louis,2002,5,33,82
Martin St. Louis,2003,6,38,82
Martin St. Louis,2005,7,31,80
Martin St. Louis,2006,8,43,82
Martin St. Louis,2007,9,25,82
Martin St. Louis,2008,10,30,82
Martin St. Louis,2009,11,29,82
Martin St. Louis,2010,12,31,82
Martin St. Louis,2011,13,25,77
Martin St. Louis,2012,14,17,48
Martin St. Louis,2013,15,30,81
Martin St. Louis,2014,16,21,74
Mats Sundin,1990,1,23,80
Mats Sundin,1991,2,33,80
Mats Sundin,1992,3,47,80
Mats Sundin,1993,4,32,84
Mats Sundin,1994,5,23,47
Mats Sundin,1995,6,33,76
Mats Sundin,1996,7,41,82
Mats Sundin,1997,8,33,82
Mats Sundin,1998,9,31,82
Mats Sundin,1999,10,32,73
Mats Sundin,2000,11,28,82
Mats Sundin,2001,12,41,82
Mats Sundin,2002,13,37,75
Mats Sundin,2003,14,31,81
Mats Sundin,2005,15,31,70
Mats Sundin,2006,16,27,75
Mats Sundin,2007,17,32,74
Mats Sundin,2008,18,9,41
Mike Modano,1990,1,28,79
Mike Modano,1991,2,33,76
Mike Modano,1992,3,33,82
Mike Modano,1993,4,50,76
Mike Modano,1994,5,12,30
Mike Modano,1995,6,36,78
Mike Modano,1996,7,35,80
Mike Modano,1997,8,21,52
Mike Modano,1998,9,34,77
Mike Modano,1999,10,38,77
Mike Modano,2000,11,33,81
Mike Modano,2001,12,34,78
Mike Modano,2002,13,28,79
Mike Modano,2003,14,14,76
Mike Modano,2005,15,27,78
Mike Modano,2006,16,22,59
Mike Modano,2007,17,21,82
Mike Modano,2008,18,15,80
Mike Modano,2009,19,14,59
Mike Modano,2010,20,4,40
Owen Nolan,1990,1,3,59
Owen Nolan,1991,2,42,75
Owen Nolan,1992,3,36,73
Owen Nolan,1994,4,30,46
Owen Nolan,1995,5,33,81
Owen Nolan,1996,6,31,72
Owen Nolan,1997,7,14,75
Owen Nolan,1998,8,19,78
Owen Nolan,1999,9,44,78
Owen Nolan,2000,10,24,57
Owen Nolan,2001,11,23,75
Owen Nolan,2002,12,29,75
Owen Nolan,2003,13,19,65
Owen Nolan,2006,14,16,76
Owen Nolan,2007,15,16,77
Owen Nolan,2008,16,25,59
Owen Nolan,2009,17,16,73
Patrick Kane,2007,1,21,82
Patrick Kane,2008,2,25,80
Patrick Kane,2009,3,30,82
Patrick Kane,2010,4,27,73
Patrick Kane,2011,5,23,82
Patrick Kane,2012,6,23,47
Patrick Kane,2013,7,29,69
Patrick Kane,2014,8,27,61
Patrick Kane,2015,9,46,82
Patrick Kane,2016,10,34,82
Patrick Kane,2017,11,27,82
Patrick Kane,2018,12,44,81
Patrick Kane,2019,13,33,70
Patrick Marleau,1997,1,13,74
Patrick Marleau,1998,2,21,81
Patrick Marleau,1999,3,17,81
Patrick Marleau,2000,4,25,81
Patrick Marleau,2001,5,21,79
Patrick Marleau,2002,6,28,82
Patrick Marleau,2003,7,28,80
Patrick Marleau,2005,8,34,82
Patrick Marleau,2006,9,32,77
Patrick Marleau,2007,10,19,78
Patrick Marleau,2008,11,38,76
Patrick Marleau,2009,12,44,82
Patrick Marleau,2010,13,37,82
Patrick Marleau,2011,14,30,82
Patrick Marleau,2012,15,17,48
Patrick Marleau,2013,16,33,82
Patrick Marleau,2014,17,19,82
Patrick Marleau,2015,18,25,82
Patrick Marleau,2016,19,27,82
Patrick Marleau,2017,20,27,82
Patrick Marleau,2018,21,16,82
Patrick Marleau,2019,22,11,66
Patrik Elias,1995,1,0,1
Patrik Elias,1996,2,2,17
Patrik Elias,1997,3,18,74
Patrik Elias,1998,4,17,74
Patrik Elias,1999,5,35,72
Patrik Elias,2000,6,40,82
Patrik Elias,2001,7,29,75
Patrik Elias,2002,8,28,81
Patrik Elias,2003,9,38,82
Patrik Elias,2005,10,16,38
Patrik Elias,2006,11,21,75
Patrik Elias,2007,12,20,74
Patrik Elias,2008,13,31,77
Patrik Elias,2009,14,19,58
Patrik Elias,2010,15,21,81
Patrik Elias,2011,16,26,81
Patrik Elias,2012,17,14,48
Patrik Elias,2013,18,18,65
Patrik Elias,2014,19,13,69
Patrik Elias,2015,20,2,16
Paul Kariya,1994,1,18,47
Paul Kariya,1995,2,50,82
Paul Kariya,1996,3,44,69
Paul Kariya,1997,4,17,22
Paul Kariya,1998,5,39,82
Paul Kariya,1999,6,42,74
Paul Kariya,2000,7,33,66
Paul Kariya,2001,8,32,82
Paul Kariya,2002,9,25,82
Paul Kariya,2003,10,11,51
Paul Kariya,2005,11,31,82
Paul Kariya,2006,12,24,82
Paul Kariya,2007,13,16,82
Paul Kariya,2008,14,2,11
Paul Kariya,2009,15,18,75
Pavel Bure,1991,1,34,65
Pavel Bure,1992,2,60,83
Pavel Bure,1993,3,60,76
Pavel Bure,1994,4,20,44
Pavel Bure,1995,5,6,15
Pavel Bure,1996,6,23,63
Pavel Bure,1997,7,51,82
Pavel Bure,1998,8,13,11
Pavel Bure,1999,9,58,74
Pavel Bure,2000,10,59,82
Pavel Bure,2001,11,34,68
Pavel Bure,2002,12,19,39
Peter Bondra,1990,1,12,54
Peter Bondra,1991,2,28,71
Peter Bondra,1992,3,37,83
Peter Bondra,1993,4,24,69
Peter Bondra,1994,5,34,47
Peter Bondra,1995,6,52,67
Peter Bondra,1996,7,46,77
Peter Bondra,1997,8,52,76
Peter Bondra,1998,9,31,66
Peter Bondra,1999,10,21,62
Peter Bondra,2000,11,45,82
Peter Bondra,2001,12,39,77
Peter Bondra,2002,13,30,76
Peter Bondra,2003,14,26,77
Peter Bondra,2005,15,21,60
Peter Bondra,2006,16,5,37
Pierre Turgeon,1990,1,32,78
Pierre Turgeon,1991,2,40,77
Pierre Turgeon,1992,3,58,83
Pierre Turgeon,1993,4,38,69
Pierre Turgeon,1994,5,24,49
Pierre Turgeon,1995,6,38,80
Pierre Turgeon,1996,7,26,78
Pierre Turgeon,1997,8,22,60
Pierre Turgeon,1998,9,31,67
Pierre Turgeon,1999,10,26,52
Pierre Turgeon,2000,11,30,79
Pierre Turgeon,2001,12,15,66
Pierre Turgeon,2002,13,12,65
Pierre Turgeon,2003,14,15,76
